id;start_dt;end_dt;risk_power
1;2019-09-17T23:37:28;2019-09-18T02:49:50;45606
2;2019-09-18T06:14:33;2019-09-17T13:34:23;61838
3;2019-09-18T03:37:30;2019-09-17T23:14:17;51423
4;2019-09-17T08:49:11;2019-09-17T18:11:58;46676
5;2019-09-18T07:18:08;2019-09-17T11:46:44;60754
6;2019-09-17T16:05:24;2019-09-18T04:19:28;45049
7;2019-09-18T06:51:21;2019-09-18T08:05:56;94888
8;2019-09-17T09:48:16;2019-09-17T09:14:32;56328
9;2019-09-17T13:00:57;2019-09-17T23:10:02;30461
10;2019-09-18T08:02:02;2019-09-18T06:04:23;23089
