id;code;name;start_dt;end_dt
1;synthesize Idaho com;Sleek Metal Table Small;2019-09-17T21:52:24;2019-09-18T05:49:40
2;Outdoors;Harbor Montana;2019-09-17T15:43:30;2019-09-17T10:38:09
3;Phased;Saint Lucia white;2019-09-17T09:47:20;2019-09-18T06:34:11
4;neutral Salad;Auto Loan Account modular Refined;2019-09-17T21:27:38;2019-09-17T13:07:45
5;maroon;EXE projection Fresh;2019-09-17T23:51:58;2019-09-18T00:47:07
6;Gorgeous Profit-focu;cutting-edge ability Hat;2019-09-17T19:35:57;2019-09-17T22:23:58
7;magenta Concrete;User-centric Gloves;2019-09-18T03:10:01;2019-09-17T19:57:59
8;Kenyan Shilling robu;Versatile Exclusive Moroccan Dirham;2019-09-17T15:19:22;2019-09-18T01:11:46
9;zero tolerance;mission-critical;2019-09-17T08:58:43;2019-09-17T20:21:11
10;Small Plastic Pants ;Canadian Dollar;2019-09-17T19:40:30;2019-09-17T20:40:14
